strat,init_dist,p_om,time_taken
1,16,0.1,20
2,16,0.1,134
3,16,0.1,58
1,14,0.2,15
2,14,0.2,56
3,14,0.2,52
1,13,0.3,12
2,13,0.3,32
3,13,0.3,20
1,11,0.4,14
2,11,0.4,14
3,11,0.4,11
1,16,0.5,12
2,16,0.5,21
3,16,0.5,16
1,14,0.1,14
2,14,0.1,88
3,14,0.1,58
1,17,0.2,18
2,17,0.2,29
3,17,0.2,44
1,16,0.3,19
2,16,0.3,29
3,16,0.3,26
1,14,0.4,12
2,14,0.4,15
3,14,0.4,16
1,17,0.5,15
2,17,0.5,16
3,17,0.5,17
1,18,0.1,21
2,18,0.1,138
3,18,0.1,89
1,13,0.2,12
2,13,0.2,28
3,13,0.2,38
1,19,0.3,21
2,19,0.3,60
3,19,0.3,39
1,16,0.4,18
2,16,0.4,30
3,16,0.4,19
1,16,0.5,18
2,16,0.5,15
3,16,0.5,16
1,17,0.1,19
2,17,0.1,104
3,17,0.1,84
1,17,0.2,20
2,17,0.2,41
3,17,0.2,29
1,12,0.3,13
2,12,0.3,30
3,12,0.3,17
1,11,0.4,10
2,11,0.4,20
3,11,0.4,13
1,15,0.5,14
2,15,0.5,20
3,15,0.5,15
1,11,0.1,12
2,11,0.1,135
3,11,0.1,63
1,12,0.2,14
2,12,0.2,22
3,12,0.2,34
1,13,0.3,9
2,13,0.3,29
3,13,0.3,20
1,16,0.4,21
2,16,0.4,29
3,16,0.4,21
1,13,0.5,19
2,13,0.5,23
3,13,0.5,13
1,15,0.1,15
2,15,0.1,41
3,15,0.1,77
1,11,0.2,12
2,11,0.2,22
3,11,0.2,41
1,12,0.3,11
2,12,0.3,26
3,12,0.3,16
1,18,0.4,14
2,18,0.4,40
3,18,0.4,24
1,17,0.5,21
2,17,0.5,21
3,17,0.5,17
1,18,0.1,18
2,18,0.1,77
3,18,0.1,95
1,12,0.2,13
2,12,0.2,16
3,12,0.2,29
1,15,0.3,17
2,15,0.3,40
3,15,0.3,25
1,10,0.4,18
2,10,0.4,16
3,10,0.4,12
1,16,0.5,13
2,16,0.5,13
3,16,0.5,16
1,15,0.1,14
2,15,0.1,49
3,15,0.1,103
1,13,0.2,13
2,13,0.2,28
3,13,0.2,23
1,19,0.3,18
2,19,0.3,59
3,19,0.3,32
1,10,0.4,11
2,10,0.4,15
3,10,0.4,14
1,19,0.5,20
2,19,0.5,32
3,19,0.5,19
1,18,0.1,18
2,18,0.1,117
3,18,0.1,73
1,18,0.2,16
2,18,0.2,53
3,18,0.2,54
1,17,0.3,16
2,17,0.3,28
3,17,0.3,26
1,11,0.4,7
2,11,0.4,16
3,11,0.4,13
1,17,0.5,16
2,17,0.5,21
3,17,0.5,17
1,19,0.1,17
2,19,0.1,137
3,19,0.1,51
